id,movie_key,name,source,file_name,script_url,tmdb_title,release_date,tmdb_id,overview,imdb_title,imdb_release_date,imdb_id,dialogue,charinfo,tagged
823,rushhour2,Rush Hour 2,imsdb,Rush-Hour-2,https://imsdb.com/scripts/Rush-Hour-2.html,Rush Hour 2,2001-08-03,5175,"It's vacation time for Carter as he finds himself alongside Lee in Hong Kong wishing for more excitement. While Carter wants to party and meet the ladies, Lee is out to track down a Triad gang lord who may be responsible for killing two men at the American Embassy. Things get complicated as the pair stumble onto a counterfeiting plot. The boys are soon up to their necks in fist fights and life-threatening situations. A trip back to the U.S. may provide the answers about the bombing, the counterfeiting, and the true allegiance of sexy customs agent Isabella.",Rush Hour 2,2001,0266915,Rush-Hour-2_dialogue.txt,Rush-Hour-2_charinfo.txt,Rush-Hour-2_parsed.txt
824,rustbone,Rust and Bone,imsdb,Rust-and-Bone,https://imsdb.com/scripts/Rust-and-Bone.html,Rust and Bone,2012-05-17,97365,"Put in charge of his young son, Ali leaves Belgium for Antibes to live with his sister and her husband as a family. Ali's bond with Stephanie, a killer whale trainer, grows deeper after Stephanie suffers a horrible accident.",Rust and Bone,2012,2053425,Rust-and-Bone_dialogue.txt,Rust-and-Bone_charinfo.txt,Rust-and-Bone_parsed.txt
825,sdarko,S. Darko,imsdb,S-Darko,https://imsdb.com/scripts/S.-Darko.html,S. Darko,2009-04-28,17532,"Seven years after the events of the first film, Samantha Darko finds herself stranded in a small desert town after her car breaks down where she is plagued by bizarre visions telling of the universe's end. As a result, she must face her own demons, and in doing so, save the world and herself.",S. Darko,2009,1231277,S-Darko_dialogue.txt,S-Darko_charinfo.txt,S-Darko_parsed.txt
826,saltonsea,"Salton Sea, The",imsdb,Salton-Sea-The,https://imsdb.com/scripts/Salton-Sea%2C-The.html,The Salton Sea,2002-02-02,11468,"After the murder of his beloved wife, a man in search of redemption is set adrift in a world where nothing is as it seems. On his journey, he befriends slacker Jimmy ""The Finn"", becomes involved in rescuing his neighbor Colette from her own demons, and gets entangled in a web of deceit full of unexpected twists and turns.",The Salton Sea,2002,0235737,Salton-Sea-The_dialogue.txt,Salton-Sea-The_charinfo.txt,Salton-Sea-The_parsed.txt
827,sandlotkids,"Sandlot Kids, The",imsdb,Sandlot-Kids-The,https://imsdb.com/scripts/Sandlot-Kids%2C-The.html,The Sandlot,1993-04-07,11528,"During a summer of friendship and adventure, one boy becomes a part of the gang, nine boys become a team and their leader becomes a legend by confronting the terrifying mystery beyond the right field wall.",The Sandlot,1993,0108037,Sandlot-Kids-The_dialogue.txt,Sandlot-Kids-The_charinfo.txt,Sandlot-Kids-The_parsed.txt
828,savelastdance,Save the Last Dance,imsdb,Save-the-Last-Dance,https://imsdb.com/scripts/Save-the-Last-Dance.html,Save the Last Dance,2001-01-12,9816,"After the death of her mother, Sara moves to the South Side of Chicago to live with her father and gets transferred to a majority-black school. Her life takes a turn for the better when befriends Chenille and her brother Derek, who helps her with her dancing skills.",Save the Last Dance,2001,0206275,Save-the-Last-Dance_dialogue.txt,Save-the-Last-Dance_charinfo.txt,Save-the-Last-Dance_parsed.txt
829,savingmrbanks,Saving Mr. Banks,imsdb,Saving-Mr-Banks,https://imsdb.com/scripts/Saving-Mr.-Banks.html,Saving Mr. Banks,2013-11-29,140823,"Author P.L. Travers looks back on her childhood while reluctantly meeting with Walt Disney, who seeks to adapt her Mary Poppins books for the big screen.",Saving Mr. Banks,2013,2140373,Saving-Mr-Banks_dialogue.txt,Saving-Mr-Banks_charinfo.txt,Saving-Mr-Banks_parsed.txt
830,savingprivateryan,Saving Private Ryan,imsdb,Saving-Private-Ryan,https://imsdb.com/scripts/Saving-Private-Ryan.html,Saving Private Ryan,1998-07-24,857,"As U.S. troops storm the beaches of Normandy, three brothers lie dead on the battlefield, with a fourth trapped behind enemy lines. Ranger captain John Miller and seven men are tasked with penetrating German-held territory and bringing the boy home.",Saving Private Ryan,1998,0120815,Saving-Private-Ryan_dialogue.txt,Saving-Private-Ryan_charinfo.txt,Saving-Private-Ryan_parsed.txt
831,saw,Saw,imsdb,Saw,https://imsdb.com/scripts/Saw.html,Saw,2004-10-01,176,"Two men wake up to find themselves shackled in a grimy, abandoned bathroom. As they struggle to comprehend their predicament, they discover a disturbing tape left behind by the sadistic mastermind known as Jigsaw. With a chilling voice and cryptic instructions, Jigsaw informs them that they must partake in a gruesome game in order to secure their freedom.",Saw,2004,0387564,Saw_dialogue.txt,Saw_charinfo.txt,Saw_parsed.txt
832,scarface,Scarface,imsdb,Scarface,https://imsdb.com/scripts/Scarface.html,Scarface,1983-12-09,111,"After getting a green card in exchange for assassinating a Cuban government official, Tony Montana stakes a claim on the drug trade in Miami. Viciously murdering anyone who stands in his way, Tony eventually becomes the biggest drug lord in the state, controlling nearly all the cocaine that comes through Miami. But increased pressure from the police, wars with Colombian drug cartels and his own drug-fueled paranoia serve to fuel the flames of his eventual downfall.",Scarface,1983,0086250,Scarface_dialogue.txt,Scarface_charinfo.txt,Scarface_parsed.txt
833,schindlerslist,Schindler's List,imsdb,Schindlers-List,https://imsdb.com/scripts/Schindler%27s-List.html,Schindler's List,1993-12-15,424,The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.,Schindler's List,1993,0108052,Schindlers-List_dialogue.txt,Schindlers-List_charinfo.txt,Schindlers-List_parsed.txt
834,scottpilgrimvsworld,Scott Pilgrim vs the World,imsdb,Scott-Pilgrim-vs-the-World,https://imsdb.com/scripts/Scott-Pilgrim-vs-the-World.html,Scott Pilgrim vs. the World,2010-08-12,22538,"As bass guitarist for a garage-rock band, Scott Pilgrim has never had trouble getting a girlfriend; usually, the problem is getting rid of them. But when Ramona Flowers skates into his heart, he finds she has the most troublesome baggage of all: an army of ex-boyfriends who will stop at nothing to eliminate him from her list of suitors.",Scott Pilgrim vs. the World,2010,0446029,Scott-Pilgrim-vs-the-World_dialogue.txt,Scott-Pilgrim-vs-the-World_charinfo.txt,Scott-Pilgrim-vs-the-World_parsed.txt
835,scream,Scream,imsdb,Scream,https://imsdb.com/scripts/Scream.html,Scream,2022-01-12,646385,"Twenty-five years after a streak of brutal murders shocked the quiet town of Woodsboro, a new killer has donned the Ghostface mask and begins targeting a group of teenagers to resurrect secrets from the town's deadly past.",Scream,1996,0117571,Scream_dialogue.txt,Scream_charinfo.txt,Scream_parsed.txt
836,scream2,Scream 2,imsdb,Scream-2,https://imsdb.com/scripts/Scream-2.html,Scream 2,1997-12-12,4233,"Away at college, Sidney Prescott thought she'd finally put the shocking murders that shattered her life behind her... until a copycat killer begins acting out a real-life sequel.",Scream 2,1997,0120082,Scream-2_dialogue.txt,Scream-2_charinfo.txt,Scream-2_parsed.txt
837,scream3,Scream 3,imsdb,Scream-3,https://imsdb.com/scripts/Scream-3.html,Scream 3,2000-02-04,4234,"While Sidney Prescott lives in safely guarded seclusion, bodies begin dropping around the Hollywood set of STAB 3, the latest movie based on the gruesome Woodsboro killings.",Scream 3,2000,0134084,Scream-3_dialogue.txt,Scream-3_charinfo.txt,Scream-3_parsed.txt
838,scream4,Scream 4,imsdb,Scream-4,https://imsdb.com/scripts/Scream-4.html,Scream 4,2011-04-13,41446,"Sidney Prescott, now the author of a self-help book, returns home to Woodsboro on the last stop of her book tour, which brings about the return of Ghostface, putting her friends, family, and the whole town in danger.",Scream 4,2011,1262416,Scream-4_dialogue.txt,Scream-4_charinfo.txt,Scream-4_parsed.txt
839,se7en,Se7en,imsdb,Se7en,https://imsdb.com/scripts/Se7en.html,Se7en,1995-09-22,807,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",Se7en,1995,0114369,Se7en_dialogue.txt,Se7en_charinfo.txt,Se7en_parsed.txt
840,searchers,"Searchers, The",imsdb,Searchers-The,https://imsdb.com/scripts/Searchers%2C-The.html,The Searchers,1956-05-16,3114,"As a Civil War veteran spends years searching for a young niece captured by Indians, his motivation becomes increasingly questionable.",The Searchers,1956,0049730,Searchers-The_dialogue.txt,Searchers-The_charinfo.txt,Searchers-The_parsed.txt
841,secretlifeofwaltermitty,"Secret Life of Walter Mitty, The",imsdb,Secret-Life-of-Walter-Mitty-The,https://imsdb.com/scripts/Secret-Life-of-Walter-Mitty%2C-The.html,The Secret Life of Walter Mitty,2013-12-18,116745,A timid magazine photo manager who lives life vicariously through daydreams embarks on a true-life adventure when a negative goes missing.,The Secret Life of Walter Mitty,2013,0359950,Secret-Life-of-Walter-Mitty-The_dialogue.txt,Secret-Life-of-Walter-Mitty-The_charinfo.txt,Secret-Life-of-Walter-Mitty-The_parsed.txt
842,semipro,Semi-Pro,imsdb,Semi-Pro,https://imsdb.com/scripts/Semi-Pro.html,Semi-Pro,2008-02-28,13260,"Jackie Moon is the owner, promoter, coach, and star player of the Flint Michigan Tropics of the American Basketball Association (ABA), the worst team in the league. In 1976 before the ABA collapses, the NBA plans to merge with the best teams of the ABA at the end of the season. Only the top four teams will make the move and the worst teams will fold. If the Tropics want to make it to the NBA, Jackie Moon must rally his team and start winning.",Semi-Pro,2008,0839980,Semi-Pro_dialogue.txt,Semi-Pro_charinfo.txt,Semi-Pro_parsed.txt
843,sensesensibility,Sense and Sensibility,imsdb,Sense-and-Sensibility,https://imsdb.com/scripts/Sense-and-Sensibility.html,Sense and Sensibility,2024-02-24,1221680,"A period adaptation of Jane Austen's Sense and Sensibility. After a change in circumstances, Marianne is torn between two men, while Elinor longs for a man beyond reach.",Sense and Sensibility,1995,0114388,Sense-and-Sensibility_dialogue.txt,Sense-and-Sensibility_charinfo.txt,Sense-and-Sensibility_parsed.txt
844,serenity,Serenity,imsdb,Serenity,https://imsdb.com/scripts/Serenity.html,Serenity,2005-09-25,16320,"When the renegade crew of Serenity agrees to hide a fugitive on their ship, they find themselves in an action-packed battle between the relentless military might of a totalitarian regime who will destroy anything - or anyone - to get the girl back and the bloodthirsty creatures who roam the uncharted areas of space. But... the greatest danger of all may be on their ship.",Serenity,2005,0379786,Serenity_dialogue.txt,Serenity_charinfo.txt,Serenity_parsed.txt
845,serialmom,Serial Mom,imsdb,Serial-Mom,https://imsdb.com/scripts/Serial-Mom.html,Serial Mom,1994-04-13,11592,"Beverly is the perfect happy homemaker, along with her doting husband and two children, but this nuclear family just might explode when her fascination with serial killers collides with her ever-so-proper code of ethics.",Serial Mom,1994,0111127,Serial-Mom_dialogue.txt,Serial-Mom_charinfo.txt,Serial-Mom_parsed.txt
846,sessions,"Sessions, The",imsdb,Sessions-The,https://imsdb.com/scripts/Sessions%2C-The.html,The Sessions,2012-05-02,113947,"Though a childhood bout with polio left him dependent on an iron lung, Mark O'Brien maintains a career as a journalist and poet. A writing assignment dealing with sex and the disabled piques Mark's curiosity, and he decides to investigate the possibility of experiencing sex himself. When his overtures toward a caregiver scare her away, he books an appointment with sex surrogate Cheryl Cohen-Greene to lose his virginity.",The Sessions,2012,1866249,Sessions-The_dialogue.txt,Sessions-The_charinfo.txt,Sessions-The_parsed.txt
